country,iso_code,year,population,gdp,co2,co2_per_capita,co2_growth_prct,methane,nitrous_oxide,total_ghg,ghg_per_capita,cumulative_co2,share_global_co2,reject_reason
Brazil,BRA,2010,193701931.0,2820492538862.0,440.269,2.273,12.955,507.871,162.328,2422.236,12.505,11289.112,1.321,yoy_jump_exceeds_threshold
Brazil,BRA,2021,209550291.0,3097565215045.0,496.562,2.37,10.84,545.361,189.952,2774.466,13.24,16751.645,1.347,yoy_jump_exceeds_threshold
China,CHN,2002,1286866835.0,6814493895929.0,4098.181,3.185,10.044,961.78,388.482,5600.191,4.352,83487.875,15.603,yoy_jump_exceeds_threshold
China,CHN,2003,1294517323.0,7248623080792.0,4835.251,3.735,17.985,1007.435,398.818,6373.199,4.923,88323.133,17.486,yoy_jump_exceeds_threshold
China,CHN,2005,1310027135.0,8602939667333.0,5881.991,4.49,12.877,1119.984,435.414,7551.543,5.764,99416.078,19.872,yoy_jump_exceeds_threshold
China,CHN,2006,1318054030.0,9489543138489.0,6486.185,4.921,10.272,1162.008,447.929,8215.579,6.233,105902.258,21.201,yoy_jump_exceeds_threshold
China,CHN,2011,1360250658.0,13691526496125.0,9520.153,6.999,10.57,1323.284,453.959,11352.635,8.346,146381.031,27.611,yoy_jump_exceeds_threshold
Denmark,DNK,2006,5437425.0,239411013967.0,59.5,10.943,15.456,9.211,5.054,74.533,13.707,3515.773,0.194,yoy_jump_exceeds_threshold
Denmark,DNK,2011,5570848.0,242757622888.0,44.237,7.941,-10.069,9.08,4.946,60.459,10.853,3764.017,0.128,yoy_jump_exceeds_threshold
Denmark,DNK,2014,5643795.0,249555233739.0,37.571,6.657,-10.037,9.603,5.014,54.201,9.604,3883.212,0.106,yoy_jump_exceeds_threshold
Denmark,DNK,2019,5814618.0,280656364923.0,30.95,5.323,-10.571,10.582,5.129,49.099,8.444,4055.463,0.083,yoy_jump_exceeds_threshold
Germany,DEU,2023,84548233.0,,593.766,7.023,-11.092,57.44,33.064,683.559,8.085,94563.352,1.559,yoy_jump_exceeds_threshold
India,IND,2021,1414203896.0,9801621018003.0,2675.778,1.892,10.445,821.053,290.389,3697.615,2.615,56985.164,7.258,yoy_jump_exceeds_threshold
Netherlands,NLD,2020,17636732.0,802861622095.0,136.974,7.766,-10.314,19.995,9.332,171.522,9.725,11762.513,0.39,yoy_jump_exceeds_threshold
Sweden,SWE,2010,9378234.0,399838964466.0,53.029,5.654,12.484,8.888,6.163,75.368,8.036,4552.402,0.159,yoy_jump_exceeds_threshold
Sweden,SWE,2020,10353682.0,456885314424.0,36.622,3.537,-10.179,7.964,6.506,56.409,5.448,4984.838,0.104,yoy_jump_exceeds_threshold
United Kingdom,GBR,2020,67351860.0,2334804059780.0,326.263,4.844,-10.552,44.528,28.932,411.774,6.114,78805.227,0.928,yoy_jump_exceeds_threshold
United States,USA,2020,339436156.0,18027359681343.0,4689.954,13.817,-10.427,761.174,241.329,5758.456,16.965,414968.5,13.34,yoy_jump_exceeds_threshold
